0:0:0:0:0:0:0:1 - - [30/Jul/2017:18:49:16 -0300] "GET /ClientTCP/css/jquery.noty.css HTTP/1.1" 200 2116
0:0:0:0:0:0:0:1 - - [30/Jul/2017:18:49:16 -0300] "GET /ClientTCP/css/elfinder.min.css HTTP/1.1" 200 29647
0:0:0:0:0:0:0:1 - - [30/Jul/2017:18:49:16 -0300] "GET /ClientTCP/css/font-awesome.min.css HTTP/1.1" 200 15736
0:0:0:0:0:0:0:1 - - [30/Jul/2017:18:49:16 -0300] "GET /ClientTCP/css/jquery.iphone.toggle.css HTTP/1.1" 200 3867
0:0:0:0:0:0:0:1 - - [30/Jul/2017:18:49:16 -0300] "GET /ClientTCP/css/elfinder.theme.css HTTP/1.1" 200 1825
0:0:0:0:0:0:0:1 - - [30/Jul/2017:18:49:16 -0300] "GET /ClientTCP/css/uploadify.css HTTP/1.1" 200 2452
0:0:0:0:0:0:0:1 - - [30/Jul/2017:18:49:16 -0300] "GET /ClientTCP/css/jquery.gritter.css HTTP/1.1" 200 2242
0:0:0:0:0:0:0:1 - - [30/Jul/2017:18:49:16 -0300] "GET /ClientTCP/css/font-awesome-ie7.min.css HTTP/1.1" 200 25255
0:0:0:0:0:0:0:1 - - [30/Jul/2017:18:49:16 -0300] "GET /ClientTCP/img/favicon.ico HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [30/Jul/2017:18:49:16 -0300] "GET /ClientTCP/css/halflings.css HTTP/1.1" 200 20684
0:0:0:0:0:0:0:1 - - [30/Jul/2017:18:49:16 -0300] "GET /ClientTCP/css/style-forms.css HTTP/1.1" 200 18475
0:0:0:0:0:0:0:1 - - [30/Jul/2017:18:49:16 -0300] "GET /ClientTCP/css/glyphicons.css HTTP/1.1" 200 52911
0:0:0:0:0:0:0:1 - - [30/Jul/2017:18:49:16 -0300] "GET /ClientTCP/img/glyphicons-halflings.png HTTP/1.1" 200 13826
0:0:0:0:0:0:0:1 - - [30/Jul/2017:18:49:16 -0300] "GET /ClientTCP/img/glyphicons_halflings-white.svg HTTP/1.1" 200 67304
0:0:0:0:0:0:0:1 - - [30/Jul/2017:18:49:16 -0300] "GET /ClientTCP/font/glyphicons-regular.woff HTTP/1.1" 200 90916
0:0:0:0:0:0:0:1 - - [30/Jul/2017:18:49:16 -0300] "GET /ClientTCP/font/fontawesome-webfont-62877.woff HTTP/1.1" 200 29380
0:0:0:0:0:0:0:1 - - [30/Jul/2017:18:55:33 -0300] "GET /ClientTCP/home.html HTTP/1.1" 200 308
0:0:0:0:0:0:0:1 - - [30/Jul/2017:18:55:34 -0300] "GET /favicon.ico HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [30/Jul/2017:18:55:34 -0300] "GET /favicon.ico HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [30/Jul/2017:18:55:41 -0300] "POST /ClientTCP/Client.jsp HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [30/Jul/2017:18:55:56 -0300] "POST /ClientTCP/Client.jsp HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [30/Jul/2017:18:57:56 -0300] "POST /ClientTCP/Client.jsp HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [30/Jul/2017:18:58:09 -0300] "POST /ClientTCP/Client.jsp HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [30/Jul/2017:18:58:29 -0300] "POST /ClientTCP/Client.jsp HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [30/Jul/2017:19:07:01 -0300] "POST /ClientTCP/Client.jsp HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [30/Jul/2017:19:08:56 -0300] "POST /ClientTCP/Client.jsp HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [30/Jul/2017:19:12:31 -0300] "POST /ClientTCP/Client.jsp HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [30/Jul/2017:19:12:52 -0300] "POST /ClientTCP/Client.jsp HTTP/1.1" 500 348
0:0:0:0:0:0:0:1 - - [30/Jul/2017:19:13:21 -0300] "POST /ClientTCP/Client.jsp HTTP/1.1" 500 348
0:0:0:0:0:0:0:1 - - [30/Jul/2017:19:20:26 -0300] "POST /ClientTCP/Client.jsp HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [30/Jul/2017:19:21:46 -0300] "POST /ClientTCP/Client.jsp HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [30/Jul/2017:19:25:41 -0300] "POST /ClientTCP/Client.jsp HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [30/Jul/2017:19:35:16 -0300] "POST /ClientTCP/Client.jsp HTTP/1.1" 500 348
0:0:0:0:0:0:0:1 - - [30/Jul/2017:19:37:23 -0300] "POST /ClientTCP/Client.jsp HTTP/1.1" 500 379
0:0:0:0:0:0:0:1 - - [30/Jul/2017:19:39:02 -0300] "POST /ClientTCP/Client.jsp HTTP/1.1" 500 348
0:0:0:0:0:0:0:1 - - [30/Jul/2017:19:42:40 -0300] "POST /ClientTCP/Client.jsp HTTP/1.1" 500 348
