127.0.0.1 - - [16/Aug/2017:22:12:40 -0300] "GET / HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [16/Aug/2017:22:12:44 -0300] "GET /ClientTCP/home.html HTTP/1.1" 200 308
0:0:0:0:0:0:0:1 - - [16/Aug/2017:22:12:47 -0300] "GET /favicon.ico HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [16/Aug/2017:22:12:47 -0300] "GET /favicon.ico HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [16/Aug/2017:22:16:21 -0300] "POST /ClientTCP/Client.jsp HTTP/1.1" 200 308
0:0:0:0:0:0:0:1 - - [16/Aug/2017:22:18:10 -0300] "POST /ClientTCP/Client.jsp HTTP/1.1" 200 308
0:0:0:0:0:0:0:1 - - [16/Aug/2017:22:28:22 -0300] "POST /ClientTCP/Client.jsp HTTP/1.1" 200 308
0:0:0:0:0:0:0:1 - - [16/Aug/2017:22:30:35 -0300] "POST /ClientTCP/Client.jsp HTTP/1.1" 200 308
0:0:0:0:0:0:0:1 - - [16/Aug/2017:22:31:01 -0300] "POST /ClientTCP/Client.jsp HTTP/1.1" 200 308
0:0:0:0:0:0:0:1 - - [16/Aug/2017:22:35:25 -0300] "POST /ClientTCP/Client.jsp HTTP/1.1" 200 308
0:0:0:0:0:0:0:1 - - [16/Aug/2017:22:37:57 -0300] "POST /ClientTCP/Client.jsp HTTP/1.1" 200 308
0:0:0:0:0:0:0:1 - - [16/Aug/2017:22:38:59 -0300] "POST /ClientTCP/Client.jsp HTTP/1.1" 200 308
0:0:0:0:0:0:0:1 - - [16/Aug/2017:22:39:43 -0300] "POST /ClientTCP/Client.jsp HTTP/1.1" 200 308
0:0:0:0:0:0:0:1 - - [16/Aug/2017:22:40:21 -0300] "POST /ClientTCP/Client.jsp HTTP/1.1" 200 308
0:0:0:0:0:0:0:1 - - [16/Aug/2017:22:41:11 -0300] "POST /ClientTCP/Client.jsp HTTP/1.1" 200 308
0:0:0:0:0:0:0:1 - - [16/Aug/2017:22:42:35 -0300] "POST /ClientTCP/Client.jsp HTTP/1.1" 200 308
0:0:0:0:0:0:0:1 - - [16/Aug/2017:22:43:05 -0300] "POST /ClientTCP/Client.jsp HTTP/1.1" 200 308
0:0:0:0:0:0:0:1 - - [16/Aug/2017:22:45:45 -0300] "POST /ClientTCP/Client.jsp HTTP/1.1" 200 308
0:0:0:0:0:0:0:1 - - [16/Aug/2017:22:46:52 -0300] "POST /ClientTCP/Client.jsp HTTP/1.1" 200 308
0:0:0:0:0:0:0:1 - - [16/Aug/2017:22:47:22 -0300] "POST /ClientTCP/Client.jsp HTTP/1.1" 200 308
0:0:0:0:0:0:0:1 - - [16/Aug/2017:22:50:09 -0300] "POST /ClientTCP/Client.jsp HTTP/1.1" 200 308
0:0:0:0:0:0:0:1 - - [16/Aug/2017:22:50:46 -0300] "POST /ClientTCP/Client.jsp HTTP/1.1" 200 308
0:0:0:0:0:0:0:1 - - [16/Aug/2017:22:53:01 -0300] "POST /ClientTCP/Client.jsp HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [16/Aug/2017:22:53:13 -0300] "POST /ClientTCP/Client.jsp HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [16/Aug/2017:23:10:16 -0300] "POST /ClientTCP/Client.jsp HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [16/Aug/2017:23:15:12 -0300] "POST /ClientTCP/Client.jsp HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [16/Aug/2017:23:15:19 -0300] "POST /ClientTCP/Client.jsp HTTP/1.1" 200 385
